full_name,age,positions,primary_position,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Sergio Busquets i Burgos,30,"CDM,CM",CDM,50,52,80,89,67,86,77,"[0.014159439131617546, 0.3862841725349426, 0.7093162536621094, -0.06087774038314819, -0.5400303602218628, -0.30483540892601013, -0.0418231263756752, 0.03961383178830147, 0.015042124316096306, -0.1675044596195221, -0.0804843083024025, -0.5452731847763062, 0.8505796790122986, -0.43086400628089905, 0.22892706096172333, -0.5128774642944336, -0.5842819809913635, -0.21612106263637543, -0.31866538524627686, 0.0749669149518013, 0.2225479632616043, -0.002336623379960656, -0.3023032248020172, -0.6804401278495789, -0.5364772081375122, -0.3431227207183838, -0.25917330384254456, 0.7538975477218628, -0.48626890778541565, 0.6628885865211487, -0.14245712757110596, -0.695109486579895, 0.2513919770717621, 0.19976185262203217, -0.23740653693675995, 0.4703042209148407, -0.01634657196700573, -0.24430619180202484, -0.7754374146461487, 0.14910092949867249, 0.1102873906493187, -0.6360719203948975, 0.06298713386058807, 0.47635844349861145, 0.5565027594566345, 0.41812846064567566, -0.2912880480289459, -0.5816564559936523, -0.22920893132686615, -0.3011608123779297, 0.04701104387640953, 0.6570998430252075, -0.19086718559265137, 0.18899847567081451, -0.7410293817520142, -0.20690543949604034, -0.40483608841896057, 0.31046968698501587, -0.4731030762195587, 0.24639111757278442, -0.7474731802940369, -0.04351704195141792, 0.1237090677022934, -0.2741535007953644]"
Thibaut Courtois,26,GK,GK,46,52,13,33,14,38,70,"[0.9628799557685852, 0.15364371240139008, 0.3577944338321686, 0.6556811332702637, 1.0373923778533936, 0.10613074153661728, -0.4164675772190094, -0.5807996988296509, -0.8263423442840576, 0.2746020555496216, -0.02498883381485939, -0.0491994209587574, -0.17567768692970276, -0.1851106733083725, -0.5692645907402039, -0.04706887900829315, -0.22735871374607086, -0.01049946527928114, -0.6165481805801392, -0.6885722279548645, 0.6360019445419312, 0.23776493966579437, -0.7030567526817322, -0.4982590079307556, -0.43453842401504517, -0.10033716261386871, -0.5427219271659851, -0.6333029866218567, -1.1277529001235962, -0.04668496549129486, -0.9716941714286804, 0.15375815331935883, 0.21066947281360626, -0.21323689818382263, -0.0681057870388031, -0.41713911294937134, -0.22595269978046417, 0.27409201860427856, -0.5359295606613159, 0.014896287582814693, 0.06963105499744415, 0.4099302589893341, 0.4260033667087555, 0.39326950907707214, 0.48183971643447876, -0.5149623155593872, -1.2635016441345215, 0.009919419884681702, -0.12862396240234375, -0.20266614854335785, -0.12470301240682602, 0.19941964745521545, -0.25146475434303284, -0.009079220704734325, -0.20316798985004425, -0.05355300009250641, 0.30842360854148865, -0.5795307755470276, -0.566256046295166, 0.2961638271808624, -0.5241218209266663, -0.09033986181020737, -0.48053792119026184, -1.1285115480422974]"
Marc-André ter Stegen,26,GK,GK,38,50,17,42,14,35,78,"[1.201747179031372, 0.09036475419998169, 0.30141186714172363, -0.12183171510696411, 0.6784281730651855, 0.0009122646879404783, 0.06726474314928055, -0.9359984397888184, -0.867990255355835, 0.6125490069389343, -0.23055656254291534, -0.09858375042676926, -0.4599587023258209, 0.07441503554582596, 0.1498136818408966, 0.16632989048957825, -0.24654950201511383, -0.20240724086761475, -0.8809369802474976, 0.06599730253219604, 0.6887624263763428, 0.5531459450721741, -0.7594029903411865, -0.5440592765808105, -0.24843905866146088, -0.04610447213053703, -0.10112089663743973, -0.5120523571968079, -0.46555617451667786, -0.10029155015945435, -0.984000563621521, 0.12341994047164917, 0.2603287398815155, 0.2887643277645111, 0.3744724988937378, -0.1237158328294754, -0.6222214698791504, -0.08827141672372818, -0.008555959910154343, 0.40924516320228577, 0.07925610989332199, 0.16579730808734894, 0.5592114329338074, 0.1423632949590683, 0.8732618689537048, -0.08854157477617264, -1.118945837020874, -0.10875879973173141, -0.021936535835266113, -0.2907872200012207, 0.008229863829910755, 0.35239723324775696, -0.10051187872886658, -0.04681715369224548, 0.32383736968040466, -0.5994946956634521, 0.3508370518684387, -0.45758509635925293, -0.4028899073600769, -0.10783540457487106, -0.6642939448356628, -0.36497747898101807, -0.42570412158966064, -0.8493287563323975]"
Antoine Griezmann,27,"CF,ST",CF,88,85,87,84,89,86,62,"[0.14211995899677277, -0.4540480077266693, 0.2633085250854492, 0.5031431913375854, 0.42322298884391785, -0.25945568084716797, -0.037654224783182144, -0.9491979479789734, -0.20104296505451202, -0.8867052793502808, 0.3263591527938843, -0.5002313256263733, 0.4734010696411133, -0.11901500821113586, -0.16713333129882812, -0.027444325387477875, -0.23674488067626953, 0.09003159403800964, 0.37129124999046326, -0.14795836806297302, 0.7274901270866394, 0.40179312229156494, -0.3255387246608734, -0.3508285880088806, -1.0353604555130005, -0.10499101877212524, -0.23763032257556915, -0.10202883183956146, -0.5576302409172058, 0.4378620982170105, -0.19827313721179962, -0.5737181305885315, -0.4072195887565613, 0.20801569521427155, 0.7038448452949524, 0.9357279539108276, -0.41230735182762146, 0.5695554614067078, -0.48524361848831177, 0.06331139802932739, 0.2704339623451233, -0.621321976184845, 0.2753998935222626, 0.28636419773101807, 0.14974761009216309, 0.47027766704559326, 0.2832506597042084, -0.3672190010547638, 0.326028436422348, 0.00410491181537509, 0.2620357871055603, 0.322317510843277, -0.2089657485485077, -0.7427284121513367, 0.11868362128734589, -0.7067240476608276, 0.10713893920183182, -0.3635843098163605, 0.1550874412059784, 0.3066069781780243, -0.44146037101745605, -0.041421808302402496, 0.03399195149540901, -0.21479706466197968]"
Mohamed  Salah Ghaly,26,"RW,ST",RW,94,91,89,83,90,84,70,"[0.19732551276683807, -0.09522635489702225, -0.2591654062271118, 0.21311843395233154, 0.3074810206890106, -0.6372180581092834, 0.2674855887889862, -0.9144896864891052, -0.25604403018951416, -0.898047685623169, 0.2674376964569092, -0.25148144364356995, 0.3764994442462921, -0.10607466846704483, -0.013223565183579922, 0.28684771060943604, 0.1086217537522316, 0.25099584460258484, 0.7237787246704102, -0.28315839171409607, 0.6091411113739014, 0.6080961227416992, -0.5315730571746826, -0.5076494812965393, -1.299035668373108, -0.11284922808408737, 0.39412862062454224, -0.06411915272474289, -0.6785944104194641, 0.5505685806274414, -0.03177720308303833, -0.3925287425518036, -0.3729744851589203, 0.21820203959941864, 0.9450741410255432, 0.623192310333252, -0.30859294533729553, 0.3981809616088867, -0.3575352430343628, 0.1803450733423233, 0.21039077639579773, -0.26171812415122986, 0.2703867256641388, 0.5054672360420227, 0.09148193895816803, 0.030981609597802162, 0.19172771275043488, -0.18558460474014282, 0.16074229776859283, 0.16928620636463165, 0.1806993931531906, 0.5105158090591431, -0.12944820523262024, -0.9035436511039734, -0.07791860401630402, -0.44316011667251587, -0.026196954771876335, -0.30646589398384094, -0.2442869246006012, 0.29393628239631653, -0.750244140625, 0.47217339277267456, 0.13627101480960846, -0.08711494505405426]"
Paulo Bruno Exequiel Dybala,25,"CAM,RW",CAM,87,83,92,87,84,80,65,"[0.22576551139354706, -0.25933000445365906, -0.11982159316539764, 0.21087780594825745, 0.2501778304576874, -0.29166150093078613, -0.03161190450191498, -0.936755359172821, -0.19743451476097107, -0.9489922523498535, 0.5165446400642395, -0.20377305150032043, 0.2707614600658417, -0.5795192718505859, -0.33350059390068054, -0.07457409054040909, -0.11165490746498108, -0.00032444449607282877, 0.5527262091636658, -0.17915555834770203, 0.4459664225578308, 0.6544243097305298, -0.2973151206970215, -0.3261064291000366, -1.2764208316802979, -0.18564940989017487, 0.011281167156994343, 0.08089747279882431, -0.7190604209899902, 0.7126260995864868, -0.18394841253757477, -0.49049070477485657, -0.4928855895996094, 0.05496496334671974, 0.6913781762123108, 0.6561751365661621, -0.08049982041120529, 0.6360223889350891, -0.30895599722862244, 0.11172590404748917, 0.489706814289093, -0.3709183633327484, 0.26612088084220886, 0.436680406332016, 0.08151843398809433, 0.19208763539791107, -0.04441818222403526, -0.2697528600692749, 0.04721870273351669, 0.23414961993694305, 0.2520309090614319, 0.4019375741481781, -0.09300286322832108, -0.8129561543464661, -0.4019084572792053, -0.560932457447052, -0.03656559810042381, -0.4633915424346924, 0.18428806960582733, 0.11541442573070526, -0.6317697167396545, 0.14952149987220764, -0.1618819534778595, 0.1290195733308792]"
Milan Škriniar,24,CB,CB,70,73,59,73,42,77,85,"[0.671932578086853, -0.00558116752654314, 1.1543800830841064, -0.4544731676578522, 0.22923485934734344, -0.18114297091960907, -0.22882024943828583, 0.5166367888450623, 0.13117019832134247, 0.13165982067584991, 0.5895174741744995, -0.29234233498573303, 0.45960697531700134, -0.4889679253101349, 0.5136983394622803, 0.30412721633911133, -0.06335078179836273, 0.07251225411891937, 0.19832322001457214, 0.6064062118530273, 0.46318936347961426, 0.4375484585762024, -0.28508618474006653, -0.3305657207965851, -0.8138494491577148, -0.14609964191913605, 0.27268144488334656, 0.03654583543539047, 0.04178842529654503, -0.23308788239955902, 0.31474795937538147, -0.27032503485679626, 0.5896176099777222, -0.19817689061164856, 0.16278083622455597, 0.44288671016693115, -0.20503975450992584, 0.10900314897298813, -0.1938219964504242, 0.1378462314605713, 0.18431329727172852, 0.3685474991798401, -0.27348482608795166, -0.12627188861370087, 0.004440727178007364, -0.4500465989112854, 0.14218920469284058, 0.14761270582675934, -0.45149022340774536, 0.00036762573290616274, -0.08203153312206268, 0.24416007101535797, -0.4488469958305359, -0.4691803455352783, -0.18953269720077515, -0.39001792669296265, -0.2390681803226471, -0.18261238932609558, -0.6329882740974426, 0.5014821290969849, -0.7654778957366943, 0.8891216516494751, 0.46626847982406616, -0.3932962417602539]"
Fernando Luiz Rosa,33,CDM,CDM,68,67,77,85,69,84,76,"[-0.1578306257724762, 0.08376776427030563, 0.4087919294834137, -0.3770703375339508, -0.02702782116830349, -0.20563925802707672, 0.044821739196777344, 0.07388529181480408, 0.0742676630616188, -0.13463740050792694, 0.38399869203567505, -0.6200864911079407, 0.5325298309326172, -0.4645274579524994, -0.16452652215957642, -0.5234289765357971, -0.19926153123378754, 0.03289124742150307, 0.030479520559310913, 0.07765503227710724, 0.6842978000640869, 0.05520137399435043, 0.09821013361215591, -1.0488876104354858, -0.6030563116073608, -0.35877811908721924, -0.4129275977611542, 0.3286098539829254, -0.8936868906021118, 0.2612701952457428, -0.48313871026039124, -0.8619230389595032, 0.45079413056373596, 0.6617122292518616, 0.10026605427265167, 0.5657809972763062, 0.02917122282087803, -0.48039332032203674, -0.6378095149993896, 0.22260040044784546, 0.23547491431236267, -0.8846384882926941, -0.2420501708984375, 0.6946282386779785, 0.3925887644290924, 0.14549264311790466, 0.2626343369483948, -0.25279974937438965, -0.1263384073972702, -0.6780380010604858, 0.26753565669059753, 0.455535888671875, -0.6125677824020386, 0.1713341772556305, -0.6056093573570251, -0.15000353753566742, 0.2544742524623871, -0.3625730276107788, -0.2966268062591553, 0.11345697939395905, -0.3286254107952118, 0.021937746554613113, 0.13107456266880035, -0.26301318407058716]"
Gonzalo Gerardo Higuaín,31,ST,ST,70,72,83,74,91,70,85,"[0.4870871603488922, 0.17496760189533234, 0.009014306589961052, -0.13206008076667786, 0.1310855597257614, -0.2768639922142029, 0.06668543070554733, 0.23357276618480682, 0.3102366626262665, -0.44208404421806335, 0.5228012800216675, -0.05559574440121651, 1.0384823083877563, -0.3786005973815918, -0.12224335968494415, -0.5360774397850037, 0.4974772334098816, -0.2799965441226959, -0.1456902027130127, -0.16297610104084015, 0.4189438819885254, -0.16363602876663208, -0.20406796038150787, -0.776465892791748, -0.4710208475589752, 0.4971974492073059, -0.14906778931617737, -0.21137242019176483, -1.1511828899383545, 0.46709877252578735, -0.7825276255607605, -0.375923216342926, 0.6943737864494324, 0.2774990499019623, 0.6439048647880554, 0.4957861304283142, -0.12754972279071808, 0.11934196949005127, -0.399352490901947, 0.19011281430721283, 0.34068554639816284, 0.0385282039642334, 0.01354916486889124, 0.60321044921875, 0.11332093179225922, 0.278541624546051, -0.1110452190041542, -0.12120503187179565, 0.6917908787727356, -0.5756787061691284, 0.3760714828968048, 0.2567237317562103, -0.5674059391021729, -0.3476467430591583, -0.7150968313217163, -0.027892259880900383, -0.13273553550243378, 0.029964733868837357, -0.43066272139549255, 0.5805762410163879, -0.6670029163360596, 0.8554608225822449, 0.08532875776290894, -0.2110423892736435]"
Ivan Rakitić,30,"CM,CDM",CM,66,62,82,87,79,83,71,"[0.09400726109743118, 0.09768618643283844, 0.4683133661746979, 0.048853833228349686, -0.5041965842247009, -0.5296754837036133, -0.2551595866680145, 0.03214995563030243, -0.026471732184290886, -0.4517562985420227, 0.21028466522693634, -0.8218677639961243, 1.0657199621200562, -0.14987701177597046, -0.08408999443054199, -0.5633025169372559, -0.19643938541412354, 0.1317470818758011, 0.009133613668382168, 0.05161941796541214, 0.6265422701835632, 0.1441149115562439, -0.02224661409854889, -0.5268866419792175, -0.7524867653846741, -0.28645721077919006, -0.4303878843784332, 0.2800684869289398, -0.7883409857749939, 0.5251877307891846, -0.5758570432662964, -0.7623948454856873, 0.2536661922931671, 0.17998437583446503, 0.22048518061637878, 0.2882634699344635, -0.04372568428516388, -0.19958458840847015, -0.6637369394302368, 0.0673908069729805, 0.32234272360801697, -0.6640506386756897, -0.16437028348445892, 0.568049967288971, 0.20175237953662872, 0.5630978345870972, 0.21262863278388977, -0.2574935257434845, -0.023843172937631607, -0.4262271821498871, 0.0635032206773758, 0.8395264744758606, -0.2680380046367645, -0.011958464048802853, -0.5178841948509216, -0.15960447490215302, -0.10480476915836334, -0.024580683559179306, -0.4609619081020355, 0.235796719789505, -0.5897845029830933, -0.10032330453395844, -0.23121686279773712, -0.018886305391788483]"
