full_name,positions,overall_rating,age,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Sergio Busquets i Burgos,"CDM,CM",89,30,50,52,80,89,67,86,77,"[1.3593719005584717, 0.3666739761829376, 1.0767489671707153, -0.40129992365837097, 0.2571749687194824, 0.8881285190582275, 0.6945676207542419, -0.1767476350069046, 0.19800984859466553, 0.41305601596832275, -0.5234552621841431, 0.1503669023513794, 0.23082749545574188, 0.23234526813030243, 0.21062029898166656, -0.24082915484905243, 0.3099517524242401, 0.18717554211616516, 0.460202693939209, -0.5708996057510376, -0.789550244808197, 0.5978784561157227, 0.11544369161128998, 0.4191744327545166, 0.042944371700286865, -0.12219256162643433, -0.4040524959564209, -0.7510151267051697, -0.534769594669342, 0.21216034889221191, 0.07578019797801971, -0.029869768768548965, -0.2613500654697418, -0.20893467962741852, -0.46851953864097595, 0.5105771422386169, 0.4962770938873291, -0.5014508366584778, 0.03660640865564346, -0.2679908573627472, 0.0512847825884819, 0.5845975875854492, -0.129319965839386, 0.2721562385559082, 0.5322849154472351, -0.5347404479980469, 0.8353337645530701, -0.4809945821762085, 0.23710273206233978, 0.184244766831398, -0.13073715567588806, -0.27330127358436584, 0.0031190156005322933, -0.33345502614974976, -0.03117763251066208, 0.5412946939468384, 1.0962380170822144, 0.09947490692138672, 0.4100787043571472, -0.12430986016988754, 0.4397011399269104, 0.3376961350440979, -0.03486933931708336, -0.18317608535289764]"
Thibaut Courtois,GK,89,26,46,52,13,33,14,38,70,"[0.7932767271995544, 1.2009499073028564, 0.013086272403597832, 0.19966378808021545, 0.18895375728607178, 0.04271561652421951, 0.09232751280069351, 0.39032095670700073, -0.6659112572669983, 0.1582280695438385, -0.1567271202802658, 0.1828286200761795, 0.0001653418003115803, 0.21766804158687592, 0.3604383170604706, 0.20133352279663086, 0.6672518253326416, -0.8182286620140076, 0.2585243284702301, -0.009613706730306149, 0.6561031341552734, 0.12923681735992432, 0.027374405413866043, -0.0128391208127141, 0.13448461890220642, 0.6843540668487549, 0.23725110292434692, -0.12804988026618958, -0.2656411826610565, 0.18286965787410736, 0.5352159738540649, 0.39155131578445435, -0.24011927843093872, -0.8842602372169495, 1.1351115703582764, 0.7120959758758545, -0.02759767509996891, 0.5569083094596863, -0.22587020695209503, 0.3883901834487915, -0.48612603545188904, 0.5139369964599609, 0.5540139675140381, 0.5315300226211548, -0.29260382056236267, -0.13270778954029083, 0.11898830533027649, -0.09177054464817047, 0.8328824043273926, 0.30128997564315796, 0.3161049485206604, -1.0541313886642456, 0.8646650910377502, 0.06576361507177353, 0.2956779897212982, -0.44668856263160706, 0.08139066398143768, -0.2844049632549286, 0.15475496649742126, -0.10541220754384995, 0.1365545243024826, -0.181111678481102, 0.5048149228096008, -0.444801926612854]"
Marc-Andre ter Stegen,GK,89,26,38,50,17,42,14,35,78,"[1.8111423254013062, 0.3229909837245941, 0.7987529039382935, -0.5452631711959839, 0.34095561504364014, -0.5229105949401855, 0.5172250270843506, 0.7471137046813965, -0.45950502157211304, 0.46145305037498474, 0.26029977202415466, 0.10908428579568863, -0.05787438526749611, -0.5222708582878113, 0.457682728767395, -0.20110945403575897, -0.2823387086391449, 0.048742350190877914, 0.3416268527507782, 0.5702298879623413, -0.2733263671398163, 0.22091412544250488, 0.35946986079216003, 0.2860391139984131, -0.12684574723243713, 0.269840806722641, 0.4303361773490906, -0.33853352069854736, -0.39387333393096924, -0.5232179164886475, 0.21929259598255157, 0.485604852437973, -0.8272141814231873, -0.05979489907622337, 0.08163273334503174, 0.04767303913831711, 0.12138950079679489, 0.8295080065727234, -0.3707845211029053, 0.10005422681570053, 0.6561416983604431, 0.6291614770889282, -0.7000580430030823, 0.8888925313949585, 0.19057093560695648, 0.5848089456558228, 0.49976497888565063, 0.0065444414503872395, 0.2980957627296448, -0.6828811764717102, -0.24249567091464996, 0.1458062082529068, -0.17941901087760925, 0.2137235403060913, -0.30567067861557007, -0.4711724519729614, 0.7677054405212402, 0.03622084856033325, 0.7056506872177124, -0.09293802082538605, -0.09152223914861679, -0.4713708460330963, -0.3226647973060608, 0.16025449335575104]"
Antoine Griezmann,"CF,ST",89,27,88,85,87,84,89,86,62,"[0.9051510095596313, 0.16942749917507172, 0.04195186868309975, -0.3395872116088867, -0.4371491074562073, -0.11287546902894974, -0.05298163741827011, -0.44325441122055054, -0.30205124616622925, 0.001693408819846809, -0.37812602519989014, 0.256757527589798, -0.36763569712638855, -0.31734320521354675, 0.30841729044914246, -0.1154208704829216, 0.05041929706931114, -0.9329947829246521, 0.41991037130355835, 0.31804001331329346, 0.16271387040615082, 0.45143216848373413, 0.10302906483411789, 0.05858825892210007, -0.37794366478919983, -0.128510981798172, 0.2304341346025467, -0.25082382559776306, -0.283631831407547, -0.06487587839365005, 0.06098928675055504, 0.4809774160385132, 0.3246718943119049, -0.32207077741622925, 0.1973010003566742, 0.543049693107605, -0.1395908147096634, 0.14910805225372314, -0.3589397370815277, 0.6260349750518799, 0.4343676269054413, 0.4246620833873749, -0.7883095741271973, 0.816136360168457, 0.5989192724227905, -0.44381120800971985, -0.12469768524169922, -0.03920195996761322, 0.6245418190956116, 0.8626062870025635, 0.19140858948230743, -0.3989681303501129, 0.4524223804473877, 0.0036926402244716883, 0.1495237499475479, -0.42438265681266785, 0.025398410856723785, 0.0840548425912857, 0.3117183446884155, 0.1825646162033081, 0.23341844975948334, 0.03133097290992737, 0.1729845106601715, 0.574630081653595]"
Mohamed Salah Ghaly,"RW,ST",89,26,94,91,89,83,90,84,70,"[1.068385362625122, 0.8487807512283325, 0.8505743145942688, -0.1065388023853302, 0.10371856391429901, 0.3530234396457672, 0.6387034058570862, 0.5358961224555969, -0.5335961580276489, 0.5973411798477173, 0.33575519919395447, 0.11524016410112381, -0.7150324583053589, -0.6524394154548645, 0.6682732701301575, -0.40948212146759033, 0.0906340628862381, -0.3847464323043823, 0.6385326385498047, 0.4278223216533661, -0.34777218103408813, -0.09931791573762894, -0.1704922914505005, 0.42270615696907043, 0.30855312943458557, 0.31377944350242615, 0.4434013366699219, -0.13279816508293152, 0.2987252473831177, -0.11052634567022324, 0.48978477716445923, 0.4432295262813568, -0.3933326303958893, -0.4643244743347168, 0.754490315914154, -0.48053407669067383, 0.5168212056159973, 0.2684275209903717, -0.8319907784461975, 0.14084601402282715, 0.31299304962158203, 0.7046844363212585, -0.059695836156606674, -0.04854137450456619, -0.27703481912612915, -0.5897388458251953, -0.269712895154953, -0.1020265445113182, 0.33164286613464355, -0.17892470955848694, 0.7772135734558105, -0.674314558506012, 0.10887859016656876, -0.17007671296596527, 0.3467210531234741, 0.45746999979019165, 1.090900182723999, -0.2558569610118866, 0.6068474054336548, 0.2950722873210907, -0.38005197048187256, -0.5187530517578125, 0.1937519907951355, 0.3887011706829071]"
Paulo Bruno Exequiel Dybala,"CAM,RW",89,25,87,83,92,87,84,80,65,"[1.2663782835006714, 0.19789554178714752, 0.12473777681589127, -0.04919932782649994, -0.005246416665613651, 0.08863192796707153, 0.18787352740764618, -0.1743595153093338, -0.2808220684528351, 0.756892740726471, -0.1630648970603943, -0.10097378492355347, -0.2704675495624542, -0.1832740604877472, 0.2084277719259262, 0.17979533970355988, -0.27525293827056885, -0.06611134111881256, 0.3953356444835663, -0.13984596729278564, -0.3190821707248688, 0.14873936772346497, -0.002348941983655095, 0.35536330938339233, 0.39011576771736145, -0.13706625998020172, -0.21044765412807465, 0.29729604721069336, 0.33420616388320923, 0.11567580699920654, 0.198091059923172, 0.4798438549041748, -0.145514577627182, -0.23777595162391663, 0.6184979677200317, 0.5329889059066772, -0.21035687625408173, -0.12675702571868896, -0.06293869018554688, 0.1102045550942421, 0.3385843336582184, 0.5275241732597351, -0.023065103217959404, 0.5376187562942505, 0.1484948843717575, 0.10324734449386597, 0.583707332611084, 0.2954183518886566, 0.2938086688518524, 0.3656735420227051, 0.4769080579280853, -0.07430601119995117, -0.007951497100293636, -0.10105118155479431, 0.045792922377586365, -0.24971427023410797, -0.4009205102920532, -0.2592848837375641, 0.34943634271621704, 0.11943145841360092, 0.2574615776538849, -0.1199493333697319, -0.1818743646144867, -0.00881563313305378]"
Milan Skriniar,CB,86,24,70,73,59,73,42,77,85,"[2.26278018951416, 1.1314327716827393, 0.4488412141799927, 0.7889068126678467, 0.28053730726242065, -0.031222794204950333, 0.6440256834030151, 0.5916430950164795, -0.38682594895362854, 0.4333908259868622, -0.4154631495475769, -0.10123103111982346, -0.7364079356193542, -0.191292405128479, 0.24457448720932007, -0.46680331230163574, -0.002814683597534895, 0.00811033695936203, 1.6175429821014404, 0.8401379585266113, 0.3876809775829315, 0.35951781272888184, 0.1879052072763443, -0.14542853832244873, 0.4664849042892456, -0.45446550846099854, 0.4994224011898041, 0.19553951919078827, -0.18437428772449493, 0.2742782235145569, 0.24207131564617157, 0.3168807923793793, 0.666594922542572, 0.17088583111763, -0.3353272080421448, 0.37398678064346313, -0.10410644859075546, -0.31498095393180847, -0.21221016347408295, -0.7069132328033447, 0.5922796726226807, 0.4845218360424042, -0.33669155836105347, 0.09203054010868073, -0.17783410847187042, -0.5649673938751221, 0.5749213695526123, -0.7846013903617859, 0.5803423523902893, 0.010452071204781532, 0.28770560026168823, 0.2437896728515625, 0.7921162843704224, -0.5865306258201599, -0.09628889709711075, -0.6008625030517578, 0.4697971045970917, -0.13865047693252563, -0.20961903035640717, -0.5107170343399048, -0.3165384531021118, -0.24297772347927094, 0.4148561656475067, 0.687396764755249]"
Fernando Luiz Rosa,CDM,87,33,68,67,77,85,69,84,76,"[2.0283942222595215, 0.7412052154541016, 1.1024017333984375, -0.030697008594870567, 0.12150264531373978, 0.9547524452209473, 0.8086681962013245, 0.10412249714136124, -0.4565911591053009, 0.35444894433021545, -0.09341692179441452, 0.09580864757299423, 0.6336807012557983, -0.12399926036596298, -0.14241793751716614, -0.00799296610057354, 0.024352042004466057, 0.915445864200592, 0.9767976999282837, 0.21455706655979156, 0.023380350321531296, -0.24745960533618927, -1.2066521644592285, 0.7815214991569519, -0.586533784866333, 0.1352642923593521, 0.22001108527183533, -0.43815603852272034, 0.030356545001268387, 0.12140897661447525, 0.24033036828041077, -0.2558106780052185, 0.257268488407135, -1.1540029048919678, 0.693382203578949, 1.0258679389953613, 0.2102283537387848, -0.3192249536514282, -1.0392189025878906, 0.8207318186759949, -0.07398229837417603, -0.09117019921541214, -0.3919832408428192, 0.009687616489827633, 0.35008305311203003, -0.6160715818405151, -0.24259860813617706, 0.2836143374443054, -0.03837565705180168, 0.5377520322799683, 0.011663061566650867, -0.6428322792053223, 0.7064760327339172, -0.25483381748199463, -0.027248354628682137, 0.21174228191375732, 0.7852851152420044, -0.8062304854393005, 0.15521115064620972, 0.6215540170669556, 0.03537013754248619, -0.2951548099517822, 0.2190035879611969, 0.4611956775188446]"
Gonzalo Gerardo Higuain,ST,87,31,70,72,83,74,91,70,85,"[1.9694305658340454, 1.5330225229263306, -0.3291913568973541, -0.10598594695329666, -0.2874978482723236, 0.040986068546772, 0.796623706817627, 0.18902823328971863, -0.4490339756011963, 0.7505629062652588, -0.9679679274559021, 0.1827193945646286, 0.44740545749664307, -0.10380522906780243, 0.10767365992069244, 0.4848349094390869, 0.06964726001024246, -0.687985360622406, 1.0459054708480835, -0.589111328125, -0.32721713185310364, -0.007134672719985247, -0.5448664426803589, 0.9385326504707336, 0.8286759257316589, 1.2963776588439941, -0.4024445712566376, 0.1558835357427597, 0.07903748005628586, 0.29704800248146057, -0.5175995826721191, -0.39548155665397644, -0.09320228546857834, -0.25875958800315857, 1.3126190900802612, 0.08948048204183578, -0.2594495117664337, -0.21070128679275513, -0.8158810138702393, -0.8580857515335083, 0.5236225724220276, 0.33093592524528503, 0.2401743233203888, 0.7330642342567444, 0.9549295902252197, -0.19006967544555664, 0.20098716020584106, 0.2554435431957245, 1.2728822231292725, 0.781470537185669, 0.38080042600631714, 0.5791712403297424, 0.47894585132598877, -0.7718227505683899, -0.9701093435287476, -0.9890540838241577, 0.16762971878051758, -0.46220123767852783, 1.3772056102752686, -0.19530220329761505, 0.43830057978630066, -0.8739502429962158, -0.04388788715004921, 0.23389782011508942]"
Ivan Rakitic,"CM,CDM",87,30,66,62,82,87,79,83,71,"[1.3892583847045898, 1.1435710191726685, -0.19916608929634094, 0.5101006627082825, -0.43714189529418945, 0.4703121483325958, 0.4117838740348816, -0.1015152633190155, -0.30920979380607605, 0.9952647089958191, 0.3174934983253479, 0.1768346130847931, -1.1458529233932495, 0.02673770859837532, 0.6752458214759827, -0.3590194880962372, 0.17891035974025726, -0.20801740884780884, 1.2291992902755737, 1.4808863401412964, 0.28151893615722656, 0.3257672190666199, 0.31316468119621277, 0.6193821430206299, 0.21906545758247375, -0.257100373506546, -0.2693767249584198, -0.6338264346122742, -0.0657821074128151, -0.7263222932815552, -0.10347489267587662, -0.78404700756073, -0.7701071500778198, -0.2909959554672241, 0.9873949885368347, -0.060926809906959534, 0.4456518292427063, 0.3270265460014343, -0.8406485915184021, -0.21188321709632874, 0.5053974986076355, 0.9579817652702332, -0.01028898824006319, 0.7848253846168518, -0.6776657700538635, 0.15159444510936737, -0.09750251471996307, -0.26713550090789795, 0.22189182043075562, -0.09266342222690582, 0.36566025018692017, 0.20108965039253235, 0.2404216080904007, -0.15025091171264648, 0.39671850204467773, -0.8117745518684387, 0.8391757011413574, 0.20088495314121246, 0.7044845223426819, 0.5826990604400635, -0.30218884348869324, -0.10933203250169754, 0.1809082180261612, -0.6580215692520142]"
